番号,単語,品詞,発音記号,意味,短い意味,ニュアンス解説,コロケーション,例文_英語,例文_日本語,言い換え,メモ
168,oversight,noun,/ˈoʊvərsaɪt/,監督、見落とし,supervision or an accidental mistake,文脈により「監督」と「見落とし」の両方の意味がある。IELTSでは “government oversight” や “lack of oversight” のように監督の意味で使いやすい。,government oversight / regulatory oversight / lack of oversight / strong oversight,Stronger government oversight is needed to prevent corporate misconduct.,企業の不正行為を防ぐためには、より強い政府の監督が必要である。,supervision; regulation; monitoring; mistake,Task 2のgovernment・business topicで便利。意味が2つあるので文脈に注意。
169,outrage,noun,/ˈaʊtreɪdʒ/,激しい怒り、憤慨,strong public anger,不公平・犯罪・政治的判断などに対する強い怒りを表す。ニュースや社会問題の文脈でよく出る。,public outrage / spark outrage / cause outrage / widespread outrage,The decision sparked public outrage because many people saw it as unfair.,その決定は多くの人が不公平だと感じたため、世間の激しい怒りを引き起こした。,anger; fury; indignation; public anger,ReadingやTask 2の社会問題で使える。“spark outrage” が重要コロケーション。
170,unquestionably,adverb,/ʌnˈkwestʃənəbli/,疑いなく、間違いなく,without any doubt,かなり強く断定する副詞。“clearly” より強いため、Writingでは本当に確信できる内容に使うのが安全。,unquestionably important / unquestionably beneficial / unquestionably true / unquestionably necessary,Education is unquestionably important for personal and social development.,教育は個人と社会の発展にとって疑いなく重要である。,undoubtedly; certainly; clearly; definitely,Task 2で使えるが、強い断定なので使いすぎ注意。
171,identifiable,adjective,/aɪˌdentɪˈfaɪəbl/,識別できる、特定できる,able to be recognized or identified,人・物・特徴・原因などが見分けられる状態を表す。ReadingやWritingで原因や特徴を説明する時に使える。,easily identifiable / clearly identifiable / identifiable features / identifiable cause,The town has several easily identifiable landmarks.,その町には簡単に識別できる目印がいくつかある。,recognizable; distinguishable; detectable; visible,Task 1 mapでlandmark説明にも使える。
172,mutation,noun,/mjuːˈteɪʃən/,突然変異、変異,a change in genes or form,生物の遺伝子や性質が変化することを表す。科学・医療・生物系Readingでよく出る語。,genetic mutation / harmful mutation / mutation rate / cause mutations,Some diseases are caused by genetic mutations.,一部の病気は遺伝子変異によって引き起こされる。,genetic change; variation; alteration; change,Readingのscience topicで重要。Writingで使う場面は限定的。
173,hereditary,adjective,/həˈredəteri/,遺伝性の、世襲の,passed from parents to children,病気・特徴・地位などが親から子へ受け継がれることを表す。医療や生物の話題でよく使う。,hereditary disease / hereditary condition / hereditary factor / hereditary traits,Some health problems are hereditary and cannot be prevented completely.,一部の健康問題は遺伝性であり、完全には予防できない。,genetic; inherited; passed down; familial,healthやbiology topicで使える。
174,athleticism,noun,/æθˈletɪsɪzəm/,運動能力、身体能力,physical ability and strength,速さ・強さ・柔軟性・持久力など、スポーツに必要な身体能力全体を表す。Speakingのsport topicで使いやすい。,natural athleticism / physical athleticism / show athleticism / improve athleticism,Regular training can improve a person’s athleticism.,定期的なトレーニングは人の運動能力を向上させることができる。,physical ability; fitness; agility; sporting ability,Speakingでsportやhealthを話す時に便利。
175,intervention,noun,/ˌɪntərˈvenʃən/,介入、支援、対策,action taken to improve a situation,問題が悪化する前に、政府・学校・医師などが行う介入や対策を表す。Task 2のsolutionで非常に使いやすい。,government intervention / early intervention / medical intervention / policy intervention,Early intervention can help children with learning difficulties.,早期介入は学習困難のある子どもを助けることができる。,action; involvement; support; measure,Task 2のeducation・health・government topicで便利。
176,consequently,adverb,/ˈkɑːnsəkwentli/,その結果、したがって,as a result,原因と結果をつなぐフォーマルな接続副詞。Task 1・Task 2で論理的な流れを作るのに便利。,"consequently, people may / consequently, the figure rose / consequently, this led to / consequently became","Many people moved to cities; consequently, rural populations declined.",多くの人が都市に移動した。その結果、地方の人口は減少した。,therefore; as a result; thus; hence,Writingで使いやすいが、文頭で使う時はカンマを置く。
177,effortlessly,adverb,/ˈefərtləsli/,楽々と、苦労せずに,without difficulty,大きな努力をせずに何かを上手に行う様子を表す。Speakingでは自然だが、Writingではやや描写的。,speak effortlessly / move effortlessly / perform effortlessly / learn effortlessly,Some children seem to learn new languages effortlessly.,一部の子どもは新しい言語を苦労せずに学ぶように見える。,easily; smoothly; naturally; without effort,Speakingで能力やスキルを説明する時に便利。
178,pique,verb,/piːk/,興味をそそる、刺激する,to arouse interest or curiosity,主に “pique interest/curiosity” の形で使う。少し高度で自然な表現だが、使い方はかなり限定的。,pique interest / pique curiosity / pique public interest / pique students’ curiosity,Science museums can pique children’s curiosity about the natural world.,科学博物館は子どもたちの自然界への好奇心を刺激できる。,arouse; stimulate; spark; awaken,Task 2のeducation topicで使える。“peak” とスペル・意味を混同しない。
179,fluid,adjective,/ˈfluːɪd/,流動的な、柔軟な、なめらかな,able to change or move smoothly,液体のように変化しやすい状態や、動きがなめらかな様子を表す。社会・働き方・アイデンティティなどにも比喩的に使える。,fluid movement / fluid situation / fluid identity / remain fluid,The job market has become more fluid due to technological change.,技術の変化により、雇用市場はより流動的になっている。,flexible; changeable; smooth; adaptable,Task 2では “fluid job market” などで使えるが、やや高度。
180,vulnerability,noun,/ˌvʌlnərəˈbɪləti/,弱さ、脆弱性、傷つきやすさ,the state of being easily harmed,人・社会・環境・システムが被害を受けやすい状態を表す。Task 2の社会問題・環境・健康で非常に使いやすい。,reduce vulnerability / social vulnerability / economic vulnerability / vulnerability to disease,Poverty can increase people’s vulnerability to health problems.,貧困は人々が健康問題にさらされやすくする可能性がある。,weakness; fragility; susceptibility; exposure,Task 2で “vulnerability to...” が便利。
181,claw,noun,/klɔː/,爪、かぎ爪,a sharp curved nail of an animal,動物の足にある鋭く曲がった爪を指す。動物・生物系Readingで出やすい。,sharp claws / use claws / retractable claws / claws of a bird,Eagles use their sharp claws to catch prey.,ワシは獲物を捕まえるために鋭いかぎ爪を使う。,talon; nail; hook; animal nail,Readingのanimal topicで覚えるとよい。
182,depression,noun,/dɪˈpreʃən/,うつ病、不況、くぼみ,"a mental illness, economic decline, or low area",文脈によって「うつ病」「経済不況」「地面のくぼみ」の意味がある。IELTSではhealthやeconomyでよく使う。,suffer from depression / economic depression / severe depression / depression treatment,Long working hours can increase the risk of depression.,長時間労働はうつ病のリスクを高める可能性がある。,mental illness; downturn; recession; low area,health topicでは不可算名詞として使うことが多い。
183,captivity,noun,/kæpˈtɪvəti/,捕らわれた状態、飼育下,the state of being kept in a place and not free,動物が野生ではなく動物園や施設で飼育されている状態、または人が捕らわれている状態を表す。,in captivity / animals in captivity / breed in captivity / kept in captivity,Some animals do not survive well in captivity.,一部の動物は飼育下ではうまく生きられない。,confinement; imprisonment; detention; enclosed condition,Task 2のanimal rightsやzoo topicで便利。
184,set aside,phrase,/set əˈsaɪd/,取っておく、脇に置く、考えないことにする,to reserve something or ignore something temporarily,お金・時間・場所を「確保する」意味と、感情や意見を「いったん脇に置く」意味がある。文脈で意味が変わる。,set aside time / set aside money / set aside differences / set aside land,Governments should set aside more land for wildlife protection.,政府は野生動物保護のためにより多くの土地を確保すべきである。,reserve; save; allocate; put aside,Task 2で “set aside time/money/land” が使いやすい。
185,proofreading,noun,/ˈpruːfriːdɪŋ/,校正、誤字脱字の確認,checking writing for mistakes,文章を提出・公開する前に、文法・スペル・句読点などの誤りを確認する作業を指す。IELTS学習でも重要。,proofreading process / careful proofreading / proofreading skills / do proofreading,Proofreading helps students avoid simple grammar and spelling mistakes.,校正は学生が単純な文法やスペルのミスを避けるのに役立つ。,editing; checking; correction; revision,Writing練習で重要。“editing” より表面的なミス確認に近い。
186,commencement,noun,/kəˈmensmənt/,開始、始まり、卒業式,the beginning of something or a graduation ceremony,フォーマルには「開始」を意味する。アメリカ英語では大学などの「卒業式」の意味でも使われる。,commencement of work / commencement date / commencement ceremony / prior to commencement,The commencement of the project was delayed by two months.,そのプロジェクトの開始は2か月遅れた。,beginning; start; launch; initiation,Writingでは “start” の方が自然なことも多い。フォーマル文書向き。
187,diagonal,adjective,/daɪˈæɡənəl/,斜めの、対角線の,slanted or connecting opposite corners,地図・図形・配置で、まっすぐ縦横ではなく斜めになっているものを説明する時に使う。Task 1 mapで使える。,diagonal line / diagonal path / diagonal road / run diagonally,A diagonal path crossed the park from the northwest to the southeast.,斜めの小道が公園を北西から南東へ横切っていた。,slanted; oblique; angled; crosswise,Task 1 mapで “run diagonally” が便利。
188,canteen,noun,/kænˈtiːn/,食堂、売店,a place where food is served in a school or workplace,学校・会社・工場などにある食堂を指す。イギリス英語寄りで、アメリカでは “cafeteria” がよく使われる。,school canteen / office canteen / staff canteen / canteen food,The school canteen was relocated next to the sports hall.,学校の食堂は体育館の隣に移転された。,cafeteria; dining hall; lunchroom; food hall,Task 1 mapで施設名として出やすい。
189,oval,adjective,/ˈoʊvəl/,楕円形の,egg-shaped or like an ellipse,円より少し長い丸い形を表す。地図や図形、競技場の形を説明する時に使える。,oval shape / oval stadium / oval area / oval table,An oval sports field was built in the centre of the campus.,楕円形の運動場がキャンパスの中央に建設された。,egg-shaped; elliptical; rounded; oblong,Task 1 mapで形を説明する時に便利。
190,dispense with,phrase,/dɪˈspens wɪð/,〜なしで済ませる、省く,to do without something,不要なものや手続きを省く時に使うフォーマルな表現。“get rid of” より硬い。,dispense with formalities / dispense with unnecessary rules / dispense with paper forms / dispense with the need for,The new system dispenses with the need for paper documents.,新しいシステムは紙の書類の必要性をなくしている。,do without; eliminate; remove; omit,Task 2のtechnologyやefficiency topicで使えるが、少し高度。
191,maintain that,phrase,/meɪnˈteɪn ðæt/,〜だと主張する,to state strongly that something is true,意見や立場をはっきり主張する時に使うフォーマル表現。“say that” より硬く、Task 2で自分や他者の主張を述べる時に便利。,maintain that education is essential / maintain that governments should act / experts maintain that / some people maintain that,Some experts maintain that strict regulations are necessary to protect children online.,一部の専門家は、オンライン上で子どもを守るには厳しい規制が必要だと主張している。,argue that; claim that; assert that; contend that,Task 2で意見紹介に使いやすい。
192,pamper,verb,/ˈpæmpər/,甘やかす、大事にしすぎる,to treat someone with too much care or kindness,子どもや自分自身を過度に甘やかす時に使う。少しネガティブなニュアンスがあり、“pampered children” は「甘やかされた子ども」。,pamper children / pamper oneself / pampered lifestyle / overly pamper,Parents should support their children without pampering them too much.,親は子どもを支えるべきだが、甘やかしすぎるべきではない。,spoil; indulge; overprotect; treat gently,Task 2のparenting topicで使えるが、ややカジュアル。
193,predictability,noun,/prɪˌdɪktəˈbɪləti/,予測可能性、見通しやすさ,the quality of being easy to predict,将来の変化や結果がどれくらい予測しやすいかを表す。仕事・経済・生活・制度の安定性を説明する時に便利。,economic predictability / lack of predictability / increase predictability / predictability of income,Predictability in income helps families plan their spending.,収入の予測可能性は家族が支出を計画するのに役立つ。,stability; certainty; reliability; foreseeability,Task 2のwork・economy topicで使える。
194,sleek,adjective,/sliːk/,洗練された、なめらかな,"smooth, stylish, and modern",デザイン・車・建物・機器などがなめらかで現代的に見える時に使う。良い意味だが、WritingよりSpeakingで自然。,sleek design / sleek appearance / sleek car / sleek smartphone,The new library has a sleek and modern design.,新しい図書館は洗練された現代的なデザインをしている。,stylish; smooth; modern; polished,SpeakingやTask 1 mapで建物の外観説明に使える。
195,exploit,verb,/ɪkˈsplɔɪt/,利用する、搾取する,to use something or someone for benefit,資源や機会を有効に利用する意味もあるが、人を不当に利用する「搾取する」という否定的意味も強い。文脈に注意。,exploit natural resources / exploit workers / exploit opportunities / exploit technology,Some companies exploit cheap labour to reduce production costs.,一部の企業は生産コストを下げるために安い労働力を搾取している。,use; take advantage of; utilise; abuse,Task 2のbusiness・environment topicで使えるが、否定的な響きが強い。
196,underestimate,verb,/ˌʌndərˈestɪmeɪt/,過小評価する,to think something is less important or smaller than it is,人の能力・問題の深刻さ・必要な時間などを実際より小さく見る時に使う。Task 2で警告や反論に使いやすい。,underestimate the importance of / underestimate the risk / underestimate students’ ability / easily underestimate,People often underestimate the importance of sleep for mental health.,人々は精神的健康にとっての睡眠の重要性を過小評価しがちである。,undervalue; misjudge; underrate; downplay,Task 2で “should not underestimate...” が便利。
197,inviting,adjective,/ɪnˈvaɪtɪŋ/,魅力的な、入りたくなるような,attractive and welcoming,場所・雰囲気・部屋などが心地よく、人を引きつける様子を表す。Task 1 mapやSpeakingで使いやすい。,inviting atmosphere / inviting place / inviting entrance / look inviting,"The café has an inviting atmosphere, so many students spend time there.",そのカフェは居心地の良い雰囲気があるため、多くの学生がそこで時間を過ごす。,welcoming; attractive; appealing; pleasant,SpeakingやTask 1 mapの施設描写で便利。
198,opulent,adjective,/ˈɑːpjələnt/,豪華な、ぜいたくな,very rich and luxurious,建物・ホテル・生活様式などが非常に豪華で高級感がある時に使う。強い語なので、普通の「きれい」には使わない。,opulent hotel / opulent lifestyle / opulent interior / opulent palace,The city is famous for its opulent hotels and historic buildings.,その都市は豪華なホテルと歴史的建造物で有名である。,luxurious; lavish; grand; extravagant,Speakingのtravel topicで使えるが、やや高度。
199,disorient,verb,/dɪsˈɔːrient/,混乱させる、方向感覚を失わせる,to make someone confused or lost,知らない場所・複雑な情報・急な変化などによって、人が混乱したり方向感覚を失ったりする時に使う。,disorient visitors / feel disoriented / become disoriented / disorient new students,The complex layout of the station can disorient first-time visitors.,その駅の複雑な配置は初めて訪れる人を混乱させることがある。,confuse; bewilder; unsettle; make lost,ReadingやSpeakingで使える。“disoriented” の形も重要。
200,naval,adjective,/ˈneɪvəl/,海軍の,related to a navy,海軍・軍艦・海上防衛に関する語。歴史や国防のReadingで出やすいが、日常会話では限定的。,naval base / naval forces / naval history / naval officer,The city developed around an important naval base.,その都市は重要な海軍基地の周りで発展した。,maritime; navy-related; sea military; nautical,Readingのhistoryやmilitary topicで出やすい。
201,a long way off,phrase,/ə lɔːŋ weɪ ɔːf/,まだ先である、遠い,far in time or distance,時間的に「まだかなり先」、または距離的に「遠い」という意味。Speakingで将来の予定や目標を話す時に自然。,still a long way off / seem a long way off / a long way off from completion / a long way off in the future,"My plan to study abroad is still a long way off, but I am preparing little by little.",留学計画はまだ先だが、少しずつ準備している。,far away; far in the future; not near; distant,Speakingで自然に使える。Writingでは “far in the future” の方が無難。
202,meteorological,adjective,/ˌmiːtiərəˈlɑːdʒɪkəl/,気象の、気象学の,related to weather science,天気・気候観測・気象データに関するフォーマルな語。Readingや環境問題で出やすい。,meteorological data / meteorological conditions / meteorological agency / meteorological observations,Meteorological data can help predict extreme weather events.,気象データは異常気象の予測に役立つ。,weather-related; climatic; atmospheric; weather-based,Readingのscience・climate topicで重要。
203,salinity,noun,/səˈlɪnəti/,塩分濃度,the amount of salt in water or soil,海水・土壌・湖などに含まれる塩分の量を表す専門語。環境・農業・水資源のReadingで出やすい。,high salinity / soil salinity / water salinity / salinity levels,High soil salinity can reduce agricultural productivity.,高い土壌塩分濃度は農業生産性を低下させる可能性がある。,salt concentration; saltiness; salt level; mineral content,Readingのenvironment・agriculture topicで覚えるとよい。
204,cigar,noun,/sɪˈɡɑːr/,葉巻,a roll of tobacco for smoking,タバコの葉を巻いた喫煙具。IELTSで頻出ではないが、Readingや物語文で出ることがある。,smoke a cigar / cigar smoke / expensive cigar / cigar shop,He was sitting outside the café and smoking a cigar.,彼はカフェの外に座って葉巻を吸っていた。,tobacco roll; smoking product; rolled tobacco; cigarillo,健康topicでは “smoking products” の一例として使える。
205,trek,noun,/trek/,長く大変な旅、トレッキング,a long and difficult journey,山道や自然の中を長く歩く旅を表す。旅行・アウトドア・困難な移動の話題で使いやすい。,mountain trek / long trek / challenging trek / trek through the forest,We went on a challenging trek through the mountains.,私たちは山を通る大変なトレッキングに出かけた。,hike; journey; expedition; long walk,Speakingのtravelやhobby topicで便利。
206,in stages,phrase,/ɪn ˈsteɪdʒɪz/,段階的に、数段階に分けて,step by step,一度に行うのではなく、複数の段階に分けて進める時に使う。Task 1 processやTask 2の政策実施に便利。,implement in stages / develop in stages / complete in stages / introduce in stages,The new transport system will be introduced in stages.,新しい交通システムは段階的に導入される予定である。,step by step; gradually; phase by phase; progressively,Task 1 processやTask 2 solutionで使いやすい。
207,up front,phrase,/ˌʌp ˈfrʌnt/,前もって、率直に,in advance or honestly,支払いを「前払いで」という意味と、人が「率直に」という意味がある。文脈で意味が変わるため注意。,pay up front / be up front about costs / cost up front / explain up front,Some language schools require students to pay the full fee up front.,一部の語学学校では、学生に全額を前払いするよう求める。,in advance; beforehand; honestly; openly,Speakingやbusiness contextで便利。Writingでは “in advance” が安全。
208,extremely fit,adjective phrase,/ɪkˈstriːmli fɪt/,非常に体力がある、非常に健康的な,very healthy and physically strong,健康状態や運動能力がかなり良いことを表す自然な表現。IELTS Speakingのhealthやsport topicで使いやすい。,remain extremely fit / become extremely fit / extremely fit people / look extremely fit,"My grandfather is over seventy, but he is still extremely fit.",私の祖父は70歳を超えているが、今でも非常に体力がある。,very healthy; physically strong; in excellent shape; athletic,Speakingで自然。“fit” は「痩せている」ではなく健康・体力がある意味。
209,outline,verb,/ˈaʊtlaɪn/,概要を述べる、概説する,to describe the main points,詳細ではなく主要な点だけを説明する時に使う。プレゼン・レポート・エッセイの導入で便利。,outline the main reasons / outline a plan / briefly outline / outline the advantages,This essay will outline the main causes of traffic congestion.,このエッセイでは交通渋滞の主な原因を概説する。,summarise; describe briefly; sketch; present,Task 2の導入で使えるが、使いすぎると定型的になる。
210,acclimatize,verb,/əˈklaɪmətaɪz/,環境に慣れる、順応する,to get used to a new climate or situation,新しい気候・高度・環境に体が慣れることを表す。旅行・登山・海外生活の話題で使いやすい。,acclimatize to the climate / acclimatize to high altitude / take time to acclimatize / gradually acclimatize,It took me a few days to acclimatize to the hot weather.,暑い気候に慣れるまで数日かかった。,adapt; adjust; get used to; become accustomed,Speakingのtravelやliving abroad topicで便利。英国式は acclimatise。
211,intellectual,adjective,/ˌɪntəˈlektʃuəl/,知的な、知性に関する,related to thinking and understanding,知識・思考力・学問的能力に関する語。“smart” よりフォーマルで、教育・読書・研究の話題で使いやすい。,intellectual ability / intellectual development / intellectual curiosity / intellectual activity,Reading books can support children’s intellectual development.,読書は子どもの知的発達を支えることができる。,mental; academic; cognitive; thoughtful,Task 2のeducation topicで便利。
212,upon,preposition,/əˈpɑːn/,〜の上に、〜に基づいて、〜するとすぐに,on or based on something,“on” よりフォーマルな響きがある。現代英語では “depend upon” “based upon” “upon arrival” など決まった形でよく使う。,depend upon / based upon / upon arrival / upon completion,The success of the project depends upon careful planning.,そのプロジェクトの成功は慎重な計画にかかっている。,on; based on; after; immediately after,Writingで使えるが、無理に “on” の代わりに多用しない方が自然。
213,area of expertise,noun,/ˈeriə əv ˌekspɝːˈtiːz/,専門分野、得意分野,a field someone knows a lot about,人が専門的な知識や経験を持つ分野を表す。仕事・研究・自己紹介で非常に使いやすい表現。,main area of expertise / specific area of expertise / develop an area of expertise / outside my area of expertise,My main area of expertise is environmental assessment.,私の主な専門分野は環境評価である。,specialism; specialty; field of expertise; expert field,SpeakingやCVで使いやすい。
214,chosen field,noun,/ˈtʃoʊzən fiːld/,自分が選んだ分野、専攻・職業分野,the area of work or study someone chooses,自分が進んで選んだ学問・仕事・専門分野を表す。キャリアや教育の話題で使いやすい。,chosen field of study / succeed in a chosen field / work in a chosen field / pursue a chosen field,Students need practical experience to succeed in their chosen field.,学生は自分が選んだ分野で成功するために実践的な経験が必要である。,selected area; career field; field of study; profession,Task 2のeducation・career topicで便利。
215,consistently,adverb,/kənˈsɪstəntli/,一貫して、継続的に,in the same way over time,時間を通して同じ傾向や行動が続く時に使う。Task 1では数値が安定して上位・下位にある時に便利。,consistently high / consistently low / perform consistently / consistently increase,The figure for petrol cars remained consistently high throughout the period.,ガソリン車の数値は期間を通して一貫して高いままだった。,steadily; regularly; constantly; reliably,Task 1でかなり使いやすい副詞。
216,subsequently,adverb,/ˈsʌbsəkwəntli/,その後、続いて,after that,出来事や変化が時間的に後に起こったことを示すフォーマルな接続副詞。Task 1の時系列説明で便利。,subsequently increased / subsequently declined / subsequently became / subsequently replaced,The old factory was subsequently converted into a shopping centre.,古い工場はその後ショッピングセンターに改装された。,afterwards; later; after that; thereafter,Task 1 mapやprocessで使いやすい。
217,trough,noun,/trɔːf/,谷、最低点,the lowest point in a cycle or graph,グラフ・景気循環・波の一番低い部分を表す語。Task 1で数値が下がりきった点を説明する時に使えるが、やや専門的。,reach a trough / hit a trough / a deep trough / a trough in sales,The unemployment rate reached a trough of 4% in 2018.,失業率は2018年に4%という最低点に達した。,lowest point; low point; bottom; minimum,Task 1で “reached a trough of...” は便利。
218,period,noun,/ˈpɪriəd/,期間、時期,a length of time,Task 1でグラフや地図の対象期間を説明する時に非常によく使う基本語。“throughout the period” は頻出表現。,throughout the period / over the period / during the period / at the end of the period,The number of visitors increased steadily throughout the period.,訪問者数は期間を通して着実に増加した。,time; duration; interval; span,Task 1の必須語。使いすぎる場合は “time frame” も使える。
219,rebound,verb,/ˌriːˈbaʊnd/,回復する、反発する,to rise again after falling,数値・経済・需要などが下がった後に再び上がる時に使う。Task 1の折れ線グラフや経済トピックで便利。,rebound strongly / rebound after a decline / prices rebound / sales rebound,Sales rebounded after a sharp decline in 2020.,売上は2020年の急激な減少後に回復した。,recover; rise again; bounce back; improve,Task 1で “rebounded after...” が使いやすい。
220,rebounded,verb,/ˌriːˈbaʊndɪd/,回復した、再び上昇した,rose again after falling,“rebound” の過去形・過去分詞。グラフで一度下がった数値が再び上がった時に使う。,rebounded sharply / rebounded slightly / rebounded to 50% / rebounded after falling,The figure rebounded to 60% in the final year.,その数値は最終年に60%まで回復した。,recovered; rose again; bounced back; improved,Task 1で過去の変化を説明する時に便利。
221,downturn,noun,/ˈdaʊntɝːn/,低迷、不況、下降,a decline in economic activity or performance,経済・売上・市場などが悪化する時に使う。“decrease” より経済的・社会的な低迷のニュアンスが強い。,economic downturn / market downturn / severe downturn / downturn in sales,Many companies reduced hiring during the economic downturn.,多くの企業は景気低迷の間、採用を減らした。,decline; recession; slump; slowdown,Task 2のeconomyやemployment topicで便利。
222,variation,noun,/ˌveriˈeɪʃən/,変化、ばらつき、違い,a difference or change,数値・種類・地域差などの「ばらつき」を表す。Task 1ではデータの違い、Task 2では人や文化の違いを説明する時に使える。,regional variation / considerable variation / variation in income / show variation,There was considerable variation in internet use among different age groups.,異なる年齢層の間でインターネット利用にはかなりのばらつきがあった。,difference; fluctuation; diversity; change,Task 1で “variation in...” として使いやすい。
223,morale,noun,/məˈræl/,士気、やる気、意欲,the confidence and motivation of a group,職場・チーム・学生など集団全体のやる気や前向きな気持ちを表す。work topicで特に便利。,boost morale / low morale / staff morale / improve morale,Flexible working arrangements can improve employee morale.,柔軟な働き方は従業員の士気を高めることができる。,motivation; confidence; team spirit; enthusiasm,Task 2のwork topicで使いやすい。
224,anxious,adjective,/ˈæŋkʃəs/,不安な、心配している,worried or nervous,将来・試験・仕事・健康などについて不安を感じる時に使う。“nervous” より心配が続く感じがある。,feel anxious / anxious about exams / become anxious / highly anxious,Students often feel anxious before important examinations.,学生は重要な試験の前に不安を感じることが多い。,worried; nervous; uneasy; concerned,SpeakingやTask 2のmental healthで便利。
225,social interaction,noun,/ˈsoʊʃəl ˌɪntərˈækʃən/,社会的交流、人との関わり,communication between people,人と話したり協力したりする交流を表す。教育・仕事・オンライン学習・メンタルヘルスの話題でよく使える。,face-to-face social interaction / encourage social interaction / lack social interaction / social interaction skills,Online learning may reduce face-to-face social interaction among students.,オンライン学習は学生同士の対面での社会的交流を減らす可能性がある。,communication; social contact; interpersonal exchange; interaction,Task 2のeducationやtechnology topicで便利。
226,diverse workforce,noun,/daɪˈvɝːs ˈwɝːkfɔːrs/,多様な労働力、多様な人材,a workforce with people from different backgrounds,性別・年齢・国籍・経験などが異なる人々で構成された職場を表す。workplace diversityの話題で使いやすい。,build a diverse workforce / manage a diverse workforce / benefit from a diverse workforce / diverse workforce culture,A diverse workforce can bring new ideas to a company.,多様な人材は会社に新しいアイデアをもたらすことができる。,diverse staff; varied workforce; inclusive workforce; mixed workforce,Task 2のwork・equality topicで便利。
227,productivity boost,noun,/ˌproʊdʌkˈtɪvəti buːst/,生産性の向上,an increase in productivity,仕事や技術導入によって効率が上がることを表す。少しカジュアルだが、workやtechnologyの話題で使いやすい。,provide a productivity boost / significant productivity boost / productivity boost from automation / lead to a productivity boost,Automation can provide a major productivity boost for many industries.,自動化は多くの産業に大きな生産性向上をもたらす可能性がある。,efficiency improvement; productivity increase; performance gain; output growth,Task 2では “increase productivity” の方がより安全。
228,retention,noun,/rɪˈtenʃən/,維持、保持、人材定着,the ability to keep something or someone,従業員・学生・情報・顧客などを維持することを表す。work topicでは “employee retention” が重要。,employee retention / staff retention / customer retention / improve retention,Good working conditions can improve employee retention.,良い労働条件は従業員の定着率を高めることができる。,keeping; maintenance; preservation; staying rate,Task 2のwork・business topicで使える。
229,gain access to,phrase,/ɡeɪn ˈækses tuː/,〜へのアクセスを得る、利用できるようになる,to get the opportunity to use or enter something,教育・医療・情報・サービスなどを利用できるようになる時に使う。Task 2の格差や社会政策で非常に便利。,gain access to education / gain access to healthcare / gain access to information / gain access to technology,Students in rural areas should gain access to high-quality online education.,地方の学生は質の高いオンライン教育を利用できるようになるべきである。,get access to; obtain access to; be able to use; have access to,Task 2のeducation・healthcare・technologyで便利。
230,who might otherwise,phrase,/huː maɪt ˈʌðərwaɪz/,そうでなければ〜するかもしれない人々,who may do something if the situation were different,条件がなければ別の結果になっていた可能性を表す関係詞表現。Writingで情報を圧縮して自然に説明できる便利な形。,people who might otherwise / students who might otherwise / workers who might otherwise / children who might otherwise,Online courses can help students who might otherwise be unable to attend university.,オンラインコースは、そうでなければ大学に通えないかもしれない学生を助けることができる。,who would otherwise; who may otherwise; who could otherwise; otherwise unable to,Task 2で高度に見える表現。構造を理解して使うと便利。
231,job satisfaction,noun,/ˈdʒɑːb ˌsætɪsˈfækʃən/,仕事への満足度,the feeling of being happy with one’s job,給与だけでなく、働きやすさ・人間関係・成長機会などから生まれる仕事への満足感を表す。Task 2のwork topicで非常に使いやすい。,improve job satisfaction / high job satisfaction / low job satisfaction / employee job satisfaction,Flexible working hours can improve job satisfaction among employees.,柔軟な勤務時間は従業員の仕事への満足度を高めることができる。,work satisfaction; employee satisfaction; workplace happiness; career satisfaction,Task 2のwork-life balanceやremote workで便利。
232,social isolation,noun,/ˈsoʊʃəl ˌaɪsəˈleɪʃən/,社会的孤立,lack of contact with other people,人との交流が少なく、孤立している状態を表す。高齢者・リモートワーク・オンライン学習・メンタルヘルスの話題で使いやすい。,reduce social isolation / experience social isolation / social isolation among elderly people / lead to social isolation,Remote work may lead to social isolation if employees rarely meet their colleagues.,従業員が同僚とほとんど会わない場合、リモートワークは社会的孤立につながる可能性がある。,loneliness; isolation; lack of social contact; disconnection,Task 2のworkやhealth topicで非常に便利。
233,mutual trust,noun,/ˈmjuːtʃuəl trʌst/,相互信頼,trust between two or more people,一方的な信頼ではなく、双方が互いに信頼している状態を表す。職場・家族・国際関係などで使える。,build mutual trust / mutual trust between colleagues / maintain mutual trust / strengthen mutual trust,Good communication helps build mutual trust between managers and employees.,良いコミュニケーションは管理職と従業員の間の相互信頼を築くのに役立つ。,shared trust; reciprocal trust; confidence; trustful relationship,Task 2のworkplaceやrelationship topicで使いやすい。
234,work-life balance,noun,/ˌwɝːk laɪf ˈbæləns/,仕事と私生活のバランス,a balance between work and personal life,仕事の時間・負担と、家族・休息・趣味などの私生活を両立することを表す。現代の働き方の話題で頻出。,improve work-life balance / poor work-life balance / maintain work-life balance / achieve work-life balance,Remote work can help employees achieve a better work-life balance.,リモートワークは従業員がより良い仕事と私生活のバランスを実現するのに役立つ。,life-work balance; balance between work and life; personal balance; workplace flexibility,Task 2のwork topicで必須レベル。
